entrez	symbol	chr_pos	full_name	probe_id	ENST
1994	ELAVL1	19p13.2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	3848689	ENST00000407627
1995	ELAVL3	19p13.2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	3850960	ENST00000359227
1996	ELAVL4	1p34	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	2335671	ENST00000371824
1997	ELF1	13q13	E74-like factor 1 (ets domain transcription factor)	3511031	ENST00000239882
1998	ELF2	4q28	E74-like factor 2 (ets domain transcription factor)	2786462	ENST00000394235
1999	ELF3	1q32.2	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2375011	ENST00000359651
2000	ELF4	Xq26	E74-like factor 4 (ets domain transcription factor)	4021433	ENST00000335997
2001	ELF5	11p13-p12	E74-like factor 5 (ets domain transcription factor)	3369117	ENST00000312319
2002	ELK1	Xp11.2	ELK1, member of ETS oncogene family	4007186	ENST00000376983
2004	ELK3	12q23	ELK3, ETS-domain protein (SRF accessory protein 2)	3427098	ENST00000228741
2005	ELK4	1q32	ELK4, ETS-domain protein (SRF accessory protein 1)	2452571	ENST00000357992
2006	ELN	7q11.23	elastin	3008019	ENST00000252034
2009	EML1	14q32	echinoderm microtubule associated protein like 1	3551485	ENST00000334192
2010	EMD	Xq28	emerin	3996289	ENST00000369842
2011	MARK2	11q13	MAP/microtubule affinity-regulating kinase 2	3334025	ENST00000402010
2012	EMP1	12p12.3	epithelial membrane protein 1	3405748	ENST00000256951
2013	EMP2	16p13.2	epithelial membrane protein 2	3679959	ENST00000359543
2014	EMP3	19q13.3	epithelial membrane protein 3	3837731	ENST00000270221
2015	EMR1	19p13.3	egf-like module containing, mucin-like, hormone receptor-like 1	3818596	ENST00000312053
2016	EMX1	2p13.2	empty spiracles homeobox 1	2488596	ENST00000258106
2017	CTTN	11q13	cortactin	3338552	ENST00000301843
2018	EMX2	10q26.1	empty spiracles homeobox 2	3266408	ENST00000369201
2019	EN1	2q14.2	engrailed homeobox 1	2572909	ENST00000295206
2020	EN2	7q36	engrailed homeobox 2	3033307	ENST00000297375
2021	ENDOG	9q34.1	endonuclease G	3190762	ENST00000372642
2022	ENG	9q33-q34.1	endoglin	3226097	ENST00000344849
2023	ENO1	1p36.2	enolase 1, (alpha)	2395490	ENST00000234590
2026	ENO2	12p13	enolase 2 (gamma, neuronal)	3403015	ENST00000229277
2027	ENO3	17pter-p11	enolase 3 (beta, muscle)	3707383	ENST00000323997
2028	ENPEP	4q25	glutamyl aminopeptidase (aminopeptidase A)	2739468	ENST00000265162
2029	ENSA	1q21.3	endosulfine alpha	2434490	ENST00000271690
2030	SLC29A1	6p21.1	solute carrier family 29 (nucleoside transporters), member 1	2908423	ENST00000371740
2033	EP300	22q13.2	E1A binding protein p300	3946615	ENST00000263253
2034	EPAS1	2p21-p16	endothelial PAS domain protein 1	2480383	ENST00000263734
2035	EPB41	1p33-p32	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	2327677	ENST00000343067
2036	EPB41L1	20q11.2-q12	erythrocyte membrane protein band 4.1-like 1	3883690	ENST00000338074
2037	EPB41L2	6q23	erythrocyte membrane protein band 4.1-like 2	2973995	ENST00000368128
2038	EPB42	15q15-q21	erythrocyte membrane protein band 4.2	3621029	ENST00000300215
2039	EPB49	8p21.1	erythrocyte membrane protein band 4.9 (dematin)	3089102	ENST00000358242
2040	STOM	9q34.1	stomatin	3223928	ENST00000286713
2041	EPHA1	7q34	EPH receptor A1	3077321	ENST00000275815
2042	EPHA3	3p11.2	EPH receptor A3	2632225	ENST00000336596
2043	EPHA4	2q36.1	EPH receptor A4	2600689	ENST00000281821
2044	EPHA5	4q13.1	EPH receptor A5	2771342	ENST00000273854
2045	EPHA7	6q16.1	EPH receptor A7	2965206	ENST00000369303
2046	EPHA8	1p36.12	EPH receptor A8	2324820	ENST00000166244
2047	EPHB1	3q21-q23	EPH receptor B1	2643592	ENST00000398015
2048	EPHB2	1p36.1-p35	EPH receptor B2	2324919	ENST00000374632
2049	EPHB3	3q21-qter	EPH receptor B3	2655845	ENST00000330394
2050	EPHB4	7q22	EPH receptor B4	3064293	ENST00000358173
2051	EPHB6	7q33-q35	EPH receptor B6	3028858	ENST00000442129
2052	EPHX1	1q42.1	epoxide hydrolase 1, microsomal (xenobiotic)	2382970	ENST00000366837
2053	EPHX2	8p21	epoxide hydrolase 2, cytoplasmic	3091403	ENST00000458037
2054	STX2	12q24.33	syntaxin 2	3478457	ENST00000344271
2055	CLN8	8p23	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	3082824	ENST00000331222
2056	EPO	7q22	erythropoietin	3015778	ENST00000252723
2058	EPRS	1q41	glutamyl-prolyl-tRNA synthetase	2456746	ENST00000366923
2059	EPS8	12p12.3	epidermal growth factor receptor pathway substrate 8	3445908	ENST00000281172
2060	EPS15	1p32	epidermal growth factor receptor pathway substrate 15	2412360	ENST00000371733
2063	NR2F6	19p13.1	nuclear receptor subfamily 2, group F, member 6	3854297	ENST00000291442
2064	ERBB2	17q11.2-q12|17q21.1	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	3720402	ENST00000406381
2065	ERBB3	12q13	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	3417249	ENST00000267101
2066	ERBB4	2q33.3-q34	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	2597552	ENST00000342788
2067	ERCC1	19q13.32	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	3865378	ENST00000013807
2068	ERCC2	19q13.3	excision repair cross-complementing rodent repair deficiency, complementation group 2	3865301	ENST00000391945
2069	EREG	4q13.3	epiregulin	2731513	ENST00000244869
2070	EYA4	6q23	eyes absent homolog 4 (Drosophila)	2926323	ENST00000355167
2071	ERCC3	2q21	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	2574752	ENST00000285398
2072	ERCC4	16p13.12	excision repair cross-complementing rodent repair deficiency, complementation group 4	3648995	ENST00000311895
2073	ERCC5	13q33	excision repair cross-complementing rodent repair deficiency, complementation group 5	3499632	ENST00000355739
2074	ERCC6	10q11.23	excision repair cross-complementing rodent repair deficiency, complementation group 6	3288707	ENST00000342592
2077	ERF	19q13	Ets2 repressor factor	3863547	ENST00000222329
2078	ERG	21q22.3	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3931765	ENST00000442448
2079	ERH	14q24.1|7q34	enhancer of rudimentary homolog (Drosophila)	3570049	ENST00000216520
2081	ERN1	17q24.2	endoplasmic reticulum to nucleus signaling 1	3766651	ENST00000433197
2086	ERV3	7p12-q11|7q11.2	endogenous retroviral sequence 3	3053380	ENST00000282869
2091	FBL	19q13.1	fibrillarin	3862167	ENST00000221801
2098	ESD	13q14.1-q14.2	esterase D	3513096	ENST00000378720
2099	ESR1	6q25.1	estrogen receptor 1	2931763	ENST00000440973
2100	ESR2	14q23.2	estrogen receptor 2 (ER beta)	3568184	ENST00000353772
2101	ESRRA	11q13	estrogen-related receptor alpha	3334484	ENST00000000442
2103	ESRRB	14q24.3	estrogen-related receptor beta	3545022	ENST00000509242
2104	ESRRG	1q41	estrogen-related receptor gamma	2455933	ENST00000493603
2107	ETF1	5q31.1	eukaryotic translation termination factor 1	2877465	ENST00000360541
2108	ETFA	15q23-q25	electron-transfer-flavoprotein, alpha polypeptide	3633794	ENST00000267950
2109	ETFB	19q13.3	electron-transfer-flavoprotein, beta polypeptide	3868963	ENST00000309244
2110	ETFDH	4q32-q35	electron-transferring-flavoprotein dehydrogenase	2749560	ENST00000511912
2113	ETS1	11q23.3	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	3397589	ENST00000392668
2114	ETS2	21q22.3|21q22.2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3921068	ENST00000360214
2115	ETV1	7p21.3	ets variant 1	3039177	ENST00000430479
2117	ETV3	1q21-q23	ets variant 3	2438792	ENST00000368192
2118	ETV4	17q21	ets variant 4	3758510	ENST00000393664
2119	ETV5	3q28	ets variant 5	2709132	ENST00000306376
2120	ETV6	12p13	ets variant 6	3405032	ENST00000266427
2121	EVC	4p16	Ellis van Creveld syndrome	2716810	ENST00000382674
2122	MECOM	3q26	MDS1 and EVI1 complex locus	2704441	ENST00000234875
2123	EVI2A	17q11.2	ecotropic viral integration site 2A	3752271	ENST00000247270
2124	EVI2B	17q11.2	ecotropic viral integration site 2B	3752258	ENST00000330927
2125	EVPL	17q25	envoplakin	3771259	ENST00000301607
2128	EVX1	7p15.2	even-skipped homeobox 1	2994193	ENST00000496902
2130	EWSR1	22q12.2	Ewing sarcoma breakpoint region 1	3941907	ENST00000397938
2131	EXT1	8q24.11	exostosin 1	3150060	ENST00000378204
2132	EXT2	11p12-p11	exostosin 2	3328389	ENST00000395673
2134	EXTL1	1p36.1	exostoses (multiple)-like 1	2326237	ENST00000374280
2135	EXTL2	1p21	exostoses (multiple)-like 2	2425400	ENST00000370114
2137	EXTL3	8p21	exostoses (multiple)-like 3	3091797	ENST00000220562
2138	EYA1	8q13.3	eyes absent homolog 1 (Drosophila)	3140037	ENST00000340726
2139	EYA2	20q13.1	eyes absent homolog 2 (Drosophila)	3887479	ENST00000372065
2140	EYA3	1p36	eyes absent homolog 3 (Drosophila)	2403335	ENST00000373871
2145	EZH1	17q21.1-q21.3	enhancer of zeste homolog 1 (Drosophila)	3758078	ENST00000428826
2146	EZH2	7q35-q36	enhancer of zeste homolog 2 (Drosophila)	3078348	ENST00000320356
2147	F2	11p11	coagulation factor II (thrombin)	3329475	ENST00000311907
2149	F2R	5q13	coagulation factor II (thrombin) receptor	2816459	ENST00000319211
2150	F2RL1	5q13	coagulation factor II (thrombin) receptor-like 1	2816494	ENST00000296677
2151	F2RL2	5q13	coagulation factor II (thrombin) receptor-like 2	2863363	ENST00000296641
2152	F3	1p22-p21	coagulation factor III (thromboplastin, tissue factor)	2423907	ENST00000334047
2153	F5	1q23	coagulation factor V (proaccelerin, labile factor)	2443370	ENST00000367797
2155	F7	13q34	coagulation factor VII (serum prothrombin conversion accelerator)	3502411	ENST00000375581
2157	F8	Xq28	coagulation factor VIII, procoagulant component	4027639	ENST00000360256
2158	F9	Xq27.1-q27.2	coagulation factor IX	3993075	ENST00000394090
2159	F10	13q34	coagulation factor X	3502437	ENST00000375559
2160	F11	4q35	coagulation factor XI	2755154	ENST00000403665
2161	F12	5q33-qter	coagulation factor XII (Hageman factor)	2888741	ENST00000253496
2162	F13A1	6p25.3-p24.3	coagulation factor XIII, A1 polypeptide	2940202	ENST00000264870
2165	F13B	1q31-q32.1	coagulation factor XIII, B polypeptide	2449536	ENST00000367412
2166	FAAH	1p35-p34	fatty acid amide hydrolase	2334740	ENST00000243167
2167	FABP4	8q21	fatty acid binding protein 4, adipocyte	3142381	ENST00000256104
2168	FABP1	2p11	fatty acid binding protein 1, liver	2563536	ENST00000295834
2169	FABP2	4q28-q31	fatty acid binding protein 2, intestinal	2783493	ENST00000274024
2170	FABP3	1p33-p32	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	2404418	ENST00000373713
2172	FABP6	5q33.3-q34	fatty acid binding protein 6, ileal	2838116	ENST00000310650
2173	FABP7	6q22-q23	fatty acid binding protein 7, brain	2923928	ENST00000368444
2175	FANCA	16q24.3	Fanconi anemia, complementation group A	3704980	ENST00000389301
2176	FANCC	9q22.3	Fanconi anemia, complementation group C	3215701	ENST00000375305
2177	FANCD2	3p26	Fanconi anemia, complementation group D2	2610241	ENST00000287647
2178	FANCE	6p22-p21	Fanconi anemia, complementation group E	2904663	ENST00000229769
2180	ACSL1	4q35	acyl-CoA synthetase long-chain family member 1	2796553	ENST00000281455
2181	ACSL3	2q34-q35	acyl-CoA synthetase long-chain family member 3	2529546	ENST00000357430
2182	ACSL4	Xq22.3-q23	acyl-CoA synthetase long-chain family member 4	4017810	ENST00000340800
2184	FAH	15q23-q25	fumarylacetoacetate hydrolase (fumarylacetoacetase)	3603932	ENST00000407106
2185	PTK2B	8p21.1	PTK2B protein tyrosine kinase 2 beta	3091301	ENST00000338238
2186	BPTF	17q24.3	bromodomain PHD finger transcription factor	3732448	ENST00000335221
2187	FANCB	Xp22.2	Fanconi anemia, complementation group B	4000370	ENST00000398334
2188	FANCF	11p15	Fanconi anemia, complementation group F	3366519	ENST00000327470
2189	FANCG	9p13	Fanconi anemia, complementation group G	3204463	ENST00000378643
2191	FAP	2q23	fibroblast activation protein, alpha	2584134	ENST00000188790
2192	FBLN1	22q13.31	fibulin 1	3948640	ENST00000327858
2193	FARSA	19p13.2	phenylalanyl-tRNA synthetase, alpha subunit	3851868	ENST00000314606
2194	FASN	17q25	fatty acid synthase	3774635	ENST00000306749
2195	FAT1	4q35	FAT tumor suppressor homolog 1 (Drosophila)	2797393	ENST00000441802
2196	FAT2	5q33.1	FAT tumor suppressor homolog 2 (Drosophila)	2882026	ENST00000261800
2197	FAU	11q13	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	3377463	ENST00000279259
2199	FBLN2	3p25.1	fibulin 2	2611546	ENST00000404922
2200	FBN1	15q21.1	fibrillin 1	3623031	ENST00000316623
2201	FBN2	5q23-q31	fibrillin 2	2874371	ENST00000508053
2202	EFEMP1	2p16	EGF-containing fibulin-like extracellular matrix protein 1	2554018	ENST00000394554
2203	FBP1	9q22.3	fructose-1,6-bisphosphatase 1	3215570	ENST00000375326
2204	FCAR	19q13.2-q13.4	Fc fragment of IgA, receptor for	3841862	ENST00000355524
2205	FCER1A	1q23	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	2362537	ENST00000368115
2206	MS4A2	11q13	membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)	3332276	ENST00000278888
2207	FCER1G	1q23	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	2363562	ENST00000289902
2208	FCER2	19p13.3	Fc fragment of IgE, low affinity II, receptor for (CD23)	3848492	ENST00000394208
2209	FCGR1A	1q21.2-q21.3	Fc fragment of IgG, high affinity Ia, receptor (CD64)	2357845	ENST00000369168
2212	FCGR2A	1q23	Fc fragment of IgG, low affinity IIa, receptor (CD32)	2363689	ENST00000271450
2213	FCGR2B	1q23	Fc fragment of IgG, low affinity IIb, receptor (CD32)	2363808	ENST00000358671
2214	FCGR3A	1q23	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	2440943	ENST00000367969
2217	FCGRT	19q13.3	Fc fragment of IgG, receptor, transporter, alpha	3838624	ENST00000221466
2218	FKTN	9q31-q33	fukutin	3183305	ENST00000223528
2219	FCN1	9q34	ficolin (collagen/fibrinogen domain containing) 1	3229338	ENST00000371806
2220	FCN2	9q34.3	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	3193631	ENST00000350339
2222	FDFT1	8p23.1-p22	farnesyl-diphosphate farnesyltransferase 1	3086206	ENST00000220584
2224	FDPS	1q22	farnesyl diphosphate synthase	2360850	ENST00000356657
2230	FDX1	11q22	ferredoxin 1	3348189	ENST00000260270
2232	FDXR	17q24-q25	ferredoxin reductase	3770457	ENST00000293195
2235	FECH	18q21.3	ferrochelatase	3809621	ENST00000262093
2237	FEN1	11q12	flap structure-specific endonuclease 1	3333226	ENST00000305885
2239	GPC4	Xq26.1	glypican 4	4022370	ENST00000370828
2241	FER	5q21	fer (fps/fes related) tyrosine kinase	2823326	ENST00000281092
2242	FES	15q26.1	feline sarcoma oncogene	3608427	ENST00000328850
2243	FGA	4q28	fibrinogen alpha chain	2790626	ENST00000302053
2244	FGB	4q28	fibrinogen beta chain	2748542	ENST00000302068
2245	FGD1	Xp11.21	FYVE, RhoGEF and PH domain containing 1	4009667	ENST00000375135
2246	FGF1	5q31	fibroblast growth factor 1 (acidic)	2879166	ENST00000403113
2247	FGF2	4q26	fibroblast growth factor 2 (basic)	2742109	ENST00000264498
2248	FGF3	11q13	fibroblast growth factor 3	3380181	ENST00000334134
2249	FGF4	11q13.3	fibroblast growth factor 4	3380142	ENST00000168712
2250	FGF5	4q21	fibroblast growth factor 5	2733360	ENST00000312465
2251	FGF6	12p13	fibroblast growth factor 6	3441190	ENST00000228837
2252	FGF7	15q21.2	fibroblast growth factor 7	3593408	NA
2253	FGF8	10q24	fibroblast growth factor 8 (androgen-induced)	3303988	ENST00000347978
2254	FGF9	13q11-q12	fibroblast growth factor 9 (glia-activating factor)	3480885	ENST00000382353
2255	FGF10	5p13-p12	fibroblast growth factor 10	2855818	ENST00000264664
2256	FGF11	17p13.1	fibroblast growth factor 11	3708644	ENST00000293829
2257	FGF12	3q28	fibroblast growth factor 12	2710895	ENST00000454309
2258	FGF13	Xq26.3	fibroblast growth factor 13	4023907	ENST00000315930
2259	FGF14	13q34	fibroblast growth factor 14	3523499	ENST00000376131
2260	FGFR1	8p12	fibroblast growth factor receptor 1	3132016	ENST00000397091
2261	FGFR3	4p16.3	fibroblast growth factor receptor 3	2715016	ENST00000440486
2262	GPC5	13q32	glypican 5	3496409	ENST00000377067
2263	FGFR2	10q26	fibroblast growth factor receptor 2	3310041	ENST00000357555
2264	FGFR4	5q35.1-qter	fibroblast growth factor receptor 4	2842911	ENST00000292408
2266	FGG	4q28	fibrinogen gamma chain	2790652	ENST00000404648
2267	FGL1	8p22	fibrinogen-like 1	3125993	ENST00000398056
2268	FGR	1p36.2-p36.1	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	2403215	ENST00000399173
2271	FH	1q42.1	fumarate hydratase	2463425	ENST00000366560
2272	FHIT	3p14.2	fragile histidine triad gene	2678714	ENST00000468189
2273	FHL1	Xq26	four and a half LIM domains 1	3992408	ENST00000394155
2274	FHL2	2q12.2	four and a half LIM domains 2	2568687	ENST00000409177
2275	FHL3	1p34	four and a half LIM domains 3	2407478	ENST00000373016
2277	FIGF	Xp22.31	c-fos induced growth factor (vascular endothelial growth factor D)	4000538	ENST00000297904
2280	FKBP1A	20p13	FK506 binding protein 1A, 12kDa	3894601	ENST00000400137
2286	FKBP2	11q13.1-q13.3	FK506 binding protein 2, 13kDa	3334339	ENST00000309366
2287	FKBP3	14q21.2	FK506 binding protein 3, 25kDa	3562721	ENST00000216330
2288	FKBP4	12p13.33	FK506 binding protein 4, 59kDa	3401099	ENST00000001008
2289	FKBP5	6p21.31	FK506 binding protein 5	2951567	ENST00000337746
2290	FOXG1	14q13	forkhead box G1	3530655	ENST00000382535
2294	FOXF1	16q24	forkhead box F1	3672609	NA
2295	FOXF2	6p25.3	forkhead box F2	2891644	ENST00000259806
2296	FOXC1	6p25	forkhead box C1	2891768	ENST00000380874
2297	FOXD1	5q12-q13	forkhead box D1	2862317	NA
2299	FOXI1	5q34	forkhead box I1	2840213	ENST00000306268
2300	FOXL1	16q24	forkhead box L1	3672661	ENST00000320241
2301	FOXE3	1p32	forkhead box E3	2335160	ENST00000335071
2302	FOXJ1	17q25.1	forkhead box J1	3771389	ENST00000322957
2303	FOXC2	16q24.1	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	3672646	ENST00000320354
2304	FOXE1	9q22	forkhead box E1 (thyroid transcription factor 2)	3181374	ENST00000375123
2305	FOXM1	12p13	forkhead box M1	3440598	ENST00000342628
2306	FOXD2	1p34-p32	forkhead box D2	2335172	ENST00000334793
2307	FOXS1	20q11.21	forkhead box S1	3902552	ENST00000375978
2308	FOXO1	13q14.1	forkhead box O1	3510858	ENST00000379561
2309	FOXO3	6q21	forkhead box O3	2920475	NA
2313	FLI1	11q24.1-q24.3	Friend leukemia virus integration 1	3355733	ENST00000344954
2314	FLII	17p11.2	flightless I homolog (Drosophila)	3748188	ENST00000327031
2315	MLANA	9p24.1	melan-A	3161261	ENST00000381471
2316	FLNA	Xq28	filamin A, alpha	4027176	ENST00000422373
2317	FLNB	3p14.3	filamin B, beta	2625907	ENST00000295956
2318	FLNC	7q32-q35	filamin C, gamma	3023149	ENST00000325888
2319	FLOT2	17q11-q12	flotillin 2	3751121	ENST00000394908
2321	FLT1	13q12	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	3507282	ENST00000282397
2322	FLT3	13q12	fms-related tyrosine kinase 3	3507199	ENST00000241453
2323	FLT3LG	19q13.3	fms-related tyrosine kinase 3 ligand	3838556	ENST00000204637
2324	FLT4	5q35.3	fms-related tyrosine kinase 4	2890756	ENST00000261937
2326	FMO1	1q24.3	flavin containing monooxygenase 1	2367050	ENST00000367750
2328	FMO3	1q24.3	flavin containing monooxygenase 3	2366941	ENST00000367755
2329	FMO4	1q24.3	flavin containing monooxygenase 4	2367086	ENST00000367749
2330	FMO5	1q21.1	flavin containing monooxygenase 5	2433232	ENST00000254090
2331	FMOD	1q32	fibromodulin	2451693	ENST00000354955
2332	FMR1	Xq27.3	fragile X mental retardation 1	3994100	ENST00000370475
2334	AFF2	Xq28	AF4/FMR2 family, member 2	3994231	ENST00000370460
2335	FN1	2q34	fibronectin 1	2526806	ENST00000354785
2339	FNTA	8p11	farnesyltransferase, CAAX box, alpha	3096428	ENST00000302279
2342	FNTB	14q23-q24	farnesyltransferase, CAAX box, beta	3540398	ENST00000246166
2346	FOLH1	11p11.2	folate hydrolase (prostate-specific membrane antigen) 1	3343900	ENST00000256999
2348	FOLR1	11q13.3-q14.1	folate receptor 1 (adult)	3339406	ENST00000393679
2350	FOLR2	11q13.3-q13.5	folate receptor 2 (fetal)	3339382	ENST00000298223
2352	FOLR3	11q13	folate receptor 3 (gamma)	3339346	ENST00000298223
2353	FOS	14q24.3	FBJ murine osteosarcoma viral oncogene homolog	3544525	ENST00000303562
2354	FOSB	19q13.32	FBJ murine osteosarcoma viral oncogene homolog B	3836266	ENST00000353609
2355	FOSL2	2p23.3	FOS-like antigen 2	2474977	ENST00000264716
2356	FPGS	9q34.1	folylpolyglutamate synthase	3190061	ENST00000393706
2357	FPR1	19q13.4	formyl peptide receptor 1	3869237	ENST00000304748
2358	FPR2	19q13.3-q13.4	formyl peptide receptor 2	3839910	ENST00000340023
2359	FPR3	19q13.3-q13.4	formyl peptide receptor 3	3839920	ENST00000339223
2395	FXN	9q21.11	frataxin	3173831	ENST00000377270
2444	FRK	6q21-q22.3	fyn-related kinase	2970897	ENST00000368626
2475	MTOR	1p36.2	mechanistic target of rapamycin (serine/threonine kinase)	2396537	ENST00000361445
2483	FRG1	4q35	FSHD region gene 1	2756029	ENST00000226798
2487	FRZB	2qter	frizzled-related protein	2590715	ENST00000295113
2488	FSHB	11p13	follicle stimulating hormone, beta polypeptide	3325028	ENST00000417547
2491	CENPI	Xq22.1	centromere protein I	3984655	ENST00000423383
2492	FSHR	2p21-p16	follicle stimulating hormone receptor	2552470	ENST00000406846
2494	NR5A2	1q32.1	nuclear receptor subfamily 5, group A, member 2	2374126	ENST00000367362
2495	FTH1	11q13	ferritin, heavy polypeptide 1	2956759	ENST00000273550
2498	FTH1P3	2p23.3	ferritin, heavy polypeptide 1 pseudogene 3	2545841	ENST00000273550
2512	FTL	19q13.33	ferritin, light polypeptide	3838094	ENST00000331825
2516	NR5A1	9q33	nuclear receptor subfamily 5, group A, member 1	3225058	ENST00000373588
2517	FUCA1	1p34	fucosidase, alpha-L- 1, tissue	2401643	ENST00000374479
2519	FUCA2	6q24	fucosidase, alpha-L- 2, plasma	2977510	ENST00000002165
2520	GAST	17q21	gastrin	3721421	ENST00000329402
2521	FUS	16p11.2	fused in sarcoma	3656904	ENST00000254108
2523	FUT1	19q13.3	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	3867400	ENST00000310160
2524	FUT2	19q13.3	fucosyltransferase 2 (secretor status included)	3837934	ENST00000391876
2525	FUT3	19p13.3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)	3847486	ENST00000303225
2526	FUT4	11q21	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	3345142	ENST00000358752
2527	FUT5	19p13.3	fucosyltransferase 5 (alpha (1,3) fucosyltransferase)	3847503	ENST00000252675
2528	FUT6	19p13.3	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)	3847462	ENST00000318336
2529	FUT7	9q34.3	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	3195102	ENST00000314412
2530	FUT8	14q24.3	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	3540552	ENST00000360689
2531	KDSR	18q21.3	3-ketodihydrosphingosine reductase	3811459	ENST00000406396
2532	DARC	1q21-q22	Duffy blood group, chemokine receptor	2362511	ENST00000368122
2533	FYB	5p13.1	FYN binding protein	2854327	ENST00000351578
2534	FYN	6q21	FYN oncogene related to SRC, FGR, YES	2969886	ENST00000368682
2535	FZD2	17q21.1	frizzled homolog 2 (Drosophila)	3723005	ENST00000315323
2537	IFI6	1p35	interferon, alpha-inducible protein 6	2403261	ENST00000361157
2538	G6PC	17q21	glucose-6-phosphatase, catalytic subunit	3722248	ENST00000253801
2539	G6PD	Xq28	glucose-6-phosphate dehydrogenase	4027416	ENST00000393562
2542	SLC37A4	11q23.3	solute carrier family 37 (glucose-6-phosphate transporter), member 4	3394092	ENST00000330775
2547	XRCC6	22q13.2	X-ray repair complementing defective repair in Chinese hamster cells 6	3946970	ENST00000359308
2548	GAA	17q25.2-q25.3	glucosidase, alpha; acid	3737140	ENST00000302262
2549	GAB1	4q31.21	GRB2-associated binding protein 1	2745547	ENST00000262995
2550	GABBR1	6p21.31	gamma-aminobutyric acid (GABA) B receptor, 1	2947889	ENST00000377034
2551	GABPA	21q21-q22.1|21q21.3	GA binding protein transcription factor, alpha subunit 60kDa	3916576	ENST00000354828
2553	GABPB1	15q21.2	GA binding protein transcription factor, beta subunit 1	3623683	ENST00000380877
2554	GABRA1	5q34-q35	gamma-aminobutyric acid (GABA) A receptor, alpha 1	2838416	ENST00000428797
2555	GABRA2	4p12	gamma-aminobutyric acid (GABA) A receptor, alpha 2	2767972	ENST00000356504
2556	GABRA3	Xq28	gamma-aminobutyric acid (GABA) A receptor, alpha 3	4026075	ENST00000370314
2557	GABRA4	4p12	gamma-aminobutyric acid (GABA) A receptor, alpha 4	2768056	ENST00000264318
2558	GABRA5	15q11.2-q12	gamma-aminobutyric acid (GABA) A receptor, alpha 5	3585223	ENST00000335625
2559	GABRA6	5q34	gamma-aminobutyric acid (GABA) A receptor, alpha 6	2838399	ENST00000274545
2560	GABRB1	4p12	gamma-aminobutyric acid (GABA) A receptor, beta 1	2725977	ENST00000295454
2561	GABRB2	5q34	gamma-aminobutyric acid (GABA) A receptor, beta 2	2884845	ENST00000274547
2562	GABRB3	15q11.2-q12	gamma-aminobutyric acid (GABA) A receptor, beta 3	3614534	ENST00000311550
2563	GABRD	1p|1p36.3	gamma-aminobutyric acid (GABA) A receptor, delta	4054481	ENST00000378585
2564	GABRE	Xq28	gamma-aminobutyric acid (GABA) A receptor, epsilon	4026010	ENST00000370328
2565	GABRG1	4p12	gamma-aminobutyric acid (GABA) A receptor, gamma 1	2767932	ENST00000295452
2566	GABRG2	5q34	gamma-aminobutyric acid (GABA) A receptor, gamma 2	2838462	ENST00000356592
2567	GABRG3	15q12	gamma-aminobutyric acid (GABA) A receptor, gamma 3	3585272	ENST00000333743
2568	GABRP	5q33-q34	gamma-aminobutyric acid (GABA) A receptor, pi	2840393	ENST00000265294
2569	GABRR1	6q14-q21|6q13-q16.3	gamma-aminobutyric acid (GABA) receptor, rho 1	2964092	ENST00000454853
2570	GABRR2	6q14-q21|6q13-q16.3	gamma-aminobutyric acid (GABA) receptor, rho 2	2964139	ENST00000402938
